alpha,N,True_N,converged,loglik,conv
5.0,23,18,True,11.159256835924262,yes
5.0,24,19,False,11.135727671474905,no
5.0,25,18,True,11.13205275190762,yes
5.0,26,18,True,11.132052752246546,yes
5.0,27,20,False,11.148755409621199,no
5.0,28,21,True,11.003492371548214,yes
5.0,29,21,True,11.003441772409767,yes
5.0,30,22,True,11.00322973676314,yes
5.0,31,22,True,11.003774322392934,yes
5.0,32,21,False,11.028881273065508,no
5.0,33,21,False,11.226477546131587,no
5.0,34,21,False,11.226421184566043,no
5.0,35,22,True,11.231702172035419,yes
5.0,36,22,False,11.399802260669194,no
5.0,37,23,False,11.376234209944355,no
5.0,38,23,True,11.379819050269056,yes
5.0,39,24,False,11.34706072901712,no
5.0,40,25,True,11.226819061612025,yes
5.0,41,25,False,11.233279170703865,no
5.0,42,25,False,11.234994465740487,no
5.0,43,25,True,11.22849387300677,yes
5.0,44,26,False,11.175209215809533,no
5.0,45,26,False,10.987721522276885,no
5.0,46,25,False,11.020443566496482,no
5.0,47,25,True,11.020446185318718,yes
5.0,48,26,False,11.016212152604007,no
5.0,49,26,False,11.016218159362946,no
5.0,50,24,False,11.01288436026608,no
5.0,51,25,False,11.018455068672104,no
5.0,52,24,False,11.013117400800677,no
5.0,53,26,False,11.00742515609795,no
5.0,54,28,True,11.201213539476774,yes
5.0,55,24,False,11.287646426900329,no
5.0,56,24,False,11.288707406743136,no
5.0,57,25,False,11.265194478679046,no
5.0,58,24,False,11.288625925226087,no
5.0,59,25,False,11.295877823530692,no
5.0,60,26,True,11.295084518936655,yes
5.0,61,27,False,11.367000689358548,no
5.0,62,27,False,11.366942453712971,no
5.0,63,28,False,11.343453713751142,no
5.0,64,26,False,11.34184305197877,no
5.0,65,26,False,11.267907145274213,no
5.0,66,25,False,11.295535494181307,no
5.0,67,28,False,11.270533324907507,no
5.0,68,27,False,11.29402181570591,no
5.0,69,27,False,11.373084623267795,no
5.0,70,26,False,11.37245354062006,no
5.0,71,26,False,11.293228591540528,no
5.0,72,26,False,11.293221810395556,no
5.0,73,26,False,11.293221808833927,no
5.0,74,26,False,11.293262084996064,no
5.0,75,25,False,11.287391440009452,no
5.0,76,25,False,11.287392838965422,no
5.0,77,25,False,11.287392839644935,no
5.0,78,25,False,11.287392838813844,no
5.0,79,25,False,11.291601732490438,no
5.0,80,26,False,11.29172826063451,no
