state,datetime,bagasse,batterys,blackcoal,browncoal,diesel,gas,hydro,kerosene,solar,solar_rooftop,wind,demand,rrp,year,net_import,export
QLD1,2017-08-16,0.8528873217184988,0.0,86.95359940647923,0.0,0.0003809794351303297,7.320120394252328,0.18372242727698615,0.0,0.09545436236824716,4.593835108469562,0.0,150982.16800000006,75.10958333333333,2017,0.0,12106.24991441585
QLD1,2017-08-17,1.166787536335535,0.0,86.20870709139751,0.0,0.0004737031954877949,8.008104407966359,0.14879967893131035,0.0,0.08829831644518328,4.378829265728624,0.0,156151.47050000005,73.82854166666667,2017,0.0,14982.411303749104
QLD1,2017-08-18,1.1872192637655101,0.0,83.71605534549835,0.0,0.0003486644585066897,10.183306276751123,0.2905619803716785,0.0,0.08835348291907054,4.534154986235759,0.0,153232.58,71.76375,2017,0.0,25736.048655916587
QLD1,2017-08-19,1.0474332556518997,0.0,83.16877708308466,0.0,0.00044854073080951483,10.013559199021774,0.7337709474168316,0.0,0.10366704831155077,4.93234392578246,0.0,145201.976,60.24854166666666,2017,0.0,27208.973600416502
QLD1,2017-08-20,1.1672493558561423,0.0,83.48625920331264,0.0,0.0004908198712986753,9.623331705818051,0.7425010956797686,0.0,0.10567672776799564,4.874491091694098,0.0,144542.24850000002,55.9025,2017,0.0,26056.658002666027
QLD1,2017-08-21,1.027482533433297,0.0,86.85867882781133,0.0,0.0003850999053510853,7.362262357189425,0.8345393322245641,0.0,0.10003045469379596,3.8166213947422105,0.0,154824.684,83.65125,2017,0.0,23137.793738999517
QLD1,2017-08-22,0.8918999929916724,0.0,88.53204284109405,0.0,0.00044693851693656427,5.710350059933227,0.7102686797170394,0.0,0.09286054532892747,4.062130942418124,0.0,154246.79099999994,93.07458333333332,2017,0.0,22362.13918208273
QLD1,2017-08-23,1.1313982351901413,0.0,88.71539293776601,0.0,0.00025799086091493417,5.1552340956655565,0.8593644325261931,0.0,0.09791058848911184,4.040441719502065,0.0,154952.3275,93.69791666666664,2017,0.0,19730.86285349945
QLD1,2017-08-24,0.6645289010807593,0.0,86.67138396107215,0.0,0.00035641383439580254,8.381079993802878,1.0396158019712316,0.0,0.09798980495116076,3.1450451232874204,0.0,155397.6255,102.61062499999998,2017,0.0,18183.36574166664
QLD1,2017-08-25,0.8755672979254966,0.0,84.47132867259634,0.0,0.00044628960780750696,9.575469362908736,0.8151909744902609,0.0,0.08421717211727392,4.1777802303540765,0.0,153192.592,102.0804166666667,2017,0.0,21880.571180249564
QLD1,2017-08-26,1.0729542715078466,0.0,88.26922097709728,0.0,0.0005181109695137318,4.881256857313066,0.8107619558627231,0.0,0.10372307255985347,4.861564754689727,0.0,144447.457,86.47145833333332,2017,0.0,20768.114637749764
QLD1,2017-08-27,1.0667989942589668,0.0,88.05617108184826,0.0,0.000445790825803961,5.859454785287429,0.8113458885094978,0.0,0.1083322405785032,4.097451218691531,0.0,142899.3705,88.43895833333336,2017,0.0,21602.29505375013
QLD1,2017-08-28,0.9469017516896928,0.0,83.13483744269661,0.0,0.0004349252415307189,9.764901988208253,1.3088334226266698,0.0,0.09881375834261533,4.745276711194618,0.0,154114.242,112.15208333333332,2017,0.0,25533.490236333488
QLD1,2017-08-29,1.1771333702707023,0.0,84.0161059302933,0.0,0.00037885813797100163,9.353514664991906,0.9778684862681756,0.0,0.0961120383955954,4.378886651642323,0.0,154963.99450000006,113.37770833333329,2017,0.0,24522.713543750055
QLD1,2017-08-30,0.9496975704151136,0.0,84.69265277911583,0.0,0.0004954149901630425,8.488772704071485,1.2092173754076347,0.0,0.03429506509557749,4.6248690909041885,0.0,154600.738,93.844375,2017,0.0,22489.85286900049
QLD1,2017-08-31,0.6083846101871192,0.0,84.25111336949972,0.0,0.00043453668907988887,9.573426285123796,1.0062379004703648,0.0,0.05292592414185217,4.507477373888048,0.0,154321.561,94.15354166666668,2017,0.0,21191.044916332845
